repositorio,loc_total,comentarios_total,cbo_total,dit_total,lcom_total,arquivos_java,loc_media_por_arquivo,comentarios_media_por_arquivo
ansj_seg,12130,3416,1377,259,2088,218,55.64,15.67
QLExpress,12114,2769,1905,456,12880,325,37.27,8.52
AndServer,12029,10131,1075,330,10283,214,56.21,47.34
GeekNews,11939,4020,2031,635,4394,439,27.2,9.16
LitePal,11830,45173,1007,332,9939,201,58.86,224.74
rocketmq-externals,11795,6618,1581,344,4524,275,42.89,24.07
DataMiningAlgorithm,11663,1534,289,137,1255,126,92.56,12.17
CalendarView,11557,20172,1156,380,9360,176,65.66,114.61
HikariCP,11464,8201,811,238,31944,185,61.97,44.33
ShedLock,11325,7100,2314,856,2862,391,28.96,18.16
AgentWeb,11320,9619,1382,381,4811,256,44.22,37.57
Store,11288,51688,1798,453,4946,290,38.92,178.23
ctci,11244,680,609,348,1585,311,36.15,2.19
db-tutorial,11203,4028,1088,247,6815,209,53.6,19.27
SwipeRecyclerView,11090,11762,1333,382,7409,275,40.33,42.77
hellocharts-android,10995,2904,965,233,6165,153,71.86,18.98
java-learning,10984,9792,817,969,449,753,14.59,13.0
agera,10897,14564,1835,360,4305,290,37.58,50.22
Java,10840,1756,478,729,668,619,17.51,2.84
greys-anatomy,10774,10507,976,277,1625,240,44.89,43.78
grpc-spring,10752,15207,2761,618,2244,418,25.72,36.38
SmarterStreaming,10750,27849,662,181,12307,172,62.5,161.91
android-job,10693,9171,1322,334,6049,189,56.58,48.52
Android-Bootstrap,10389,1395,550,132,2480,79,131.51,17.66
small-spring,10379,16019,1302,469,4764,375,27.68,42.72
MyPerf4J,10298,1645,1255,359,3247,306,33.65,5.38
xboot,10265,6047,2588,423,927,349,29.41,17.33
parceler,10156,8067,2065,594,7299,440,23.08,18.33
grafika,10035,12149,660,180,710,103,97.43,117.95
failsafe,10026,8332,1520,491,4564,238,42.13,35.01
mlkit,9937,7316,1465,293,1550,191,52.03,38.3
COLA,9619,3108,2420,742,2781,559,17.21,5.56
spark,9588,10556,1004,287,10413,221,43.38,47.76
Transitions-Everywhere,9485,17485,1326,324,4964,193,49.15,90.6
ion,9443,4807,1323,422,6820,289,32.67,16.63
kkFileView,9418,2159,569,86,13717,82,114.85,26.33
volley,9295,15417,1199,392,2838,231,40.24,66.74
MallChat,9260,5902,2769,534,1971,444,20.86,13.29
SurveyKing,9237,11466,2070,492,3130,400,23.09,28.66
MVVMHabit,9110,12501,1143,406,5029,319,28.56,39.19
