file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_sorting\merge_sort.java,chapter_sorting.merge_sort,class,2,3,1,2,10,1,0,4,3,0.0,0.0,0.0,3,3,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,5,31,1,4,0,0,1,1,16,12,10,6,2,0,0,0,13,1,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_stack_and_queue\array_deque.java,chapter_stack_and_queue.array_deque,class,1,1,0,1,1,1,0,11,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,25,0,0,0,0,0,11,6,7,9,7,0,0,0,0,13,1,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_array_and_linkedlist\my_list.java,chapter_array_and_linkedlist.my_list,class,1,1,0,1,2,1,0,10,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,23,0,1,0,0,0,10,13,3,6,3,1,0,0,0,9,1,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_heap\my_heap.java,chapter_heap.my_heap,class,1,1,0,1,1,1,0,9,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,6,13,6,0,5,0,0,0,0,12,1,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_hashing\hash_map_open_addressing.java,chapter_hashing.hash_map_open_addressing,class,1,1,0,1,1,1,0,5,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,8,7,2,1,2,0,0,0,0,12,1,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_computational_complexity\recursion.java,chapter_computational_complexity.recursion,class,1,2,1,1,11,1,0,8,10,0.0,0.0,0.0,5,5,1,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,8,39,7,2,4,0,0,5,14,11,12,7,1,0,0,0,13,1,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_computational_complexity\iteration.java,chapter_computational_complexity.iteration,class,1,2,1,1,10,1,0,7,10,0.0,0.0,0.0,5,5,1,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,4,49,4,5,0,0,0,7,10,18,5,12,2,0,0,0,16,1,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_hashing\simple_hash.java,chapter_hashing.simple_hash,class,1,2,1,1,9,1,0,6,10,0.0,0.0,0.0,5,5,1,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,4,45,4,4,0,0,5,5,11,17,12,10,1,0,0,0,17,1,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_computational_complexity\time_complexity.java,chapter_computational_complexity.time_complexity,class,2,3,1,2,30,1,0,12,66,0.0,0.0,0.0,12,12,1,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,17,113,15,13,2,0,0,12,46,43,27,26,3,0,0,0,27,1,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_dynamic_programming\climbing_stairs_dfs_mem.java,chapter_dynamic_programming.climbing_stairs_dfs_mem,class,2,3,1,2,6,1,0,5,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,19,4,0,3,0,0,1,8,5,4,4,1,0,0,0,15,1,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_sorting\quick_sort.java,chapter_sorting.QuickSortMedian,class,2,4,2,2,18,1,0,4,6,0.0,0.0,0.0,4,4,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,7,31,5,3,0,0,5,0,3,10,4,8,2,0,0,0,19,0,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_array_and_linkedlist\array.java,chapter_array_and_linkedlist.array,class,2,3,1,2,14,1,0,10,21,0.0,0.0,0.0,7,7,1,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,12,57,4,6,1,0,0,7,21,20,12,13,2,0,0,0,21,1,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_graph\graph_bfs.java,chapter_graph.graph_bfs,class,4,5,1,4,5,1,0,13,1,0.0,0.0,0.0,2,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,29,1,2,0,0,0,2,35,8,0,8,3,0,0,0,20,1,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_array_and_linkedlist\my_list.java,chapter_array_and_linkedlist.MyList,class,2,4,2,2,23,1,0,5,0,0.475,0.6666667,0.8,10,0,10,0,0,0,10,0,0,0,4,0,0,4,0,0,0,0,1,58,5,3,2,0,0,4,12,18,5,10,1,0,0,0,24,0,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_stack_and_queue\queue.java,chapter_stack_and_queue.queue,class,0,0,0,0,1,1,0,6,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,6,5,5,5,5,0,0,0,0,8,1,0
C:\Users\Lucas\Desktop\lab-experimentacao-02\repositories\hello-algo\codes\java\chapter_searching\hashing_search.java,chapter_searching.hashing_search,class,3,4,1,3,5,1,0,8,3,0.0,0.0,0.0,3,3,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3,26,2,2,1,0,0,2,13,9,2,8,1,0,0,0,18,1,0
